Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Don Ackerman,1954,PG,23.0,NYK,28.0,0.0,220.0,14.0,63.0,0.222,0.0,0.0,0.0,14.0,63.0,0.222,0.222,15.0,28.0,0.536,0.0,0.0,15.0,23.0,0.0,0.0,0.0,43.0,43.0
Don Asmonga,1954,G,25.0,BLB,7.0,0.0,46.0,2.0,15.0,0.133,0.0,0.0,0.0,2.0,15.0,0.133,0.133,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,12.0,5.0
Jim Baechtold,1954,SF,26.0,NYK,70.0,0.0,1627.0,170.0,465.0,0.366,0.0,0.0,0.0,170.0,465.0,0.366,0.366,134.0,177.0,0.757,0.0,0.0,183.0,117.0,0.0,0.0,0.0,195.0,474.0
Don Barksdale*,1954,PF,30.0,BOS,63.0,0.0,1358.0,156.0,415.0,0.376,0.0,0.0,0.0,156.0,415.0,0.376,0.376,149.0,225.0,0.662,0.0,0.0,345.0,117.0,0.0,0.0,0.0,213.0,461.0
Leo Barnhorst,1954,SF,29.0,TOT,72.0,0.0,2064.0,199.0,588.0,0.338,0.0,0.0,0.0,199.0,588.0,0.338,0.338,63.0,88.0,0.716,0.0,0.0,297.0,226.0,0.0,0.0,0.0,203.0,461.0
Leo Barnhorst,1954,SF,29.0,BLB,55.0,0.0,1879.0,187.0,531.0,0.352,0.0,0.0,0.0,187.0,531.0,0.352,0.352,58.0,82.0,0.707,0.0,0.0,0.0,214.0,0.0,0.0,0.0,173.0,432.0
Leo Barnhorst,1954,SF,29.0,FTW,17.0,0.0,185.0,12.0,57.0,0.211,0.0,0.0,0.0,12.0,57.0,0.211,0.211,5.0,6.0,0.833,0.0,0.0,0.0,12.0,0.0,0.0,0.0,30.0,29.0
Ernie Barrett,1954,SG,24.0,BOS,59.0,0.0,641.0,60.0,191.0,0.314,0.0,0.0,0.0,60.0,191.0,0.314,0.314,14.0,25.0,0.56,0.0,0.0,100.0,55.0,0.0,0.0,0.0,116.0,134.0
Ernie Beck,1954,SG,22.0,PHW,15.0,0.0,422.0,39.0,142.0,0.275,0.0,0.0,0.0,39.0,142.0,0.275,0.275,34.0,43.0,0.791,0.0,0.0,50.0,34.0,0.0,0.0,0.0,29.0,112.0
Irv Bemoras,1954,SF,23.0,MLH,69.0,0.0,1496.0,185.0,505.0,0.366,0.0,0.0,0.0,185.0,505.0,0.366,0.366,139.0,208.0,0.668,0.0,0.0,214.0,79.0,0.0,0.0,0.0,152.0,509.0
Bill Bolger,1954,SF,22.0,BLB,20.0,0.0,202.0,24.0,59.0,0.407,0.0,0.0,0.0,24.0,59.0,0.407,0.407,8.0,13.0,0.615,0.0,0.0,36.0,11.0,0.0,0.0,0.0,27.0,56.0
Vince Boryla,1954,SF,26.0,NYK,52.0,0.0,1522.0,175.0,525.0,0.333,0.0,0.0,0.0,175.0,525.0,0.333,0.333,70.0,81.0,0.864,0.0,0.0,130.0,77.0,0.0,0.0,0.0,128.0,420.0
Bob Brannum,1954,PF,27.0,BOS,71.0,0.0,1729.0,140.0,453.0,0.309,0.0,0.0,0.0,140.0,453.0,0.309,0.309,129.0,206.0,0.626,0.0,0.0,509.0,144.0,0.0,0.0,0.0,280.0,409.0
Carl Braun*,1954,SG,26.0,NYK,72.0,0.0,2373.0,354.0,884.0,0.4,0.0,0.0,0.0,354.0,884.0,0.4,0.4,354.0,429.0,0.825,0.0,0.0,246.0,209.0,0.0,0.0,0.0,259.0,1062.0
Frankie Brian,1954,SG,30.0,FTW,64.0,0.0,973.0,132.0,352.0,0.375,0.0,0.0,0.0,132.0,352.0,0.375,0.375,137.0,182.0,0.753,0.0,0.0,79.0,92.0,0.0,0.0,0.0,100.0,401.0
Bill Calhoun,1954,SF,26.0,MLH,72.0,0.0,2370.0,190.0,545.0,0.349,0.0,0.0,0.0,190.0,545.0,0.349,0.349,214.0,292.0,0.733,0.0,0.0,274.0,189.0,0.0,0.0,0.0,151.0,594.0
Cal Christensen,1954,SF,26.0,ROC,70.0,0.0,1654.0,137.0,395.0,0.347,0.0,0.0,0.0,137.0,395.0,0.347,0.347,138.0,261.0,0.529,0.0,0.0,395.0,107.0,0.0,0.0,0.0,196.0,412.0
Nat Clifton*,1954,PF,31.0,NYK,72.0,0.0,2179.0,257.0,699.0,0.368,0.0,0.0,0.0,257.0,699.0,0.368,0.368,174.0,277.0,0.628,0.0,0.0,528.0,176.0,0.0,0.0,0.0,215.0,688.0
Jack Coleman,1954,PF,29.0,ROC,71.0,0.0,2377.0,289.0,714.0,0.405,0.0,0.0,0.0,289.0,714.0,0.405,0.405,108.0,181.0,0.597,0.0,0.0,589.0,158.0,0.0,0.0,0.0,201.0,686.0
Chuck Cooper*,1954,SF,27.0,BOS,70.0,0.0,1101.0,78.0,261.0,0.299,0.0,0.0,0.0,78.0,261.0,0.299,0.299,78.0,116.0,0.672,0.0,0.0,304.0,74.0,0.0,0.0,0.0,150.0,234.0
Bob Cousy*,1954,PG,25.0,BOS,72.0,0.0,2857.0,486.0,1262.0,0.385,0.0,0.0,0.0,486.0,1262.0,0.385,0.385,411.0,522.0,0.787,0.0,0.0,394.0,518.0,0.0,0.0,0.0,201.0,1383.0
Bob Davies*,1954,PG,34.0,ROC,72.0,0.0,2137.0,288.0,777.0,0.371,0.0,0.0,0.0,288.0,777.0,0.371,0.371,311.0,433.0,0.718,0.0,0.0,194.0,323.0,0.0,0.0,0.0,224.0,887.0
Walt Davis,1954,PF,23.0,PHW,68.0,0.0,1568.0,167.0,455.0,0.367,0.0,0.0,0.0,167.0,455.0,0.367,0.367,65.0,101.0,0.644,0.0,0.0,435.0,58.0,0.0,0.0,0.0,207.0,399.0
Bob Donham,1954,SG,27.0,BOS,68.0,0.0,1451.0,141.0,315.0,0.448,0.0,0.0,0.0,141.0,315.0,0.448,0.448,118.0,213.0,0.554,0.0,0.0,267.0,186.0,0.0,0.0,0.0,235.0,400.0
Gene Dyker,1954,F,23.0,MLH,11.0,0.0,91.0,6.0,26.0,0.231,0.0,0.0,0.0,6.0,26.0,0.231,0.231,4.0,8.0,0.5,0.0,0.0,16.0,5.0,0.0,0.0,0.0,21.0,16.0
Ed Earle,1954,PF,26.0,SYR,2.0,0.0,12.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,2.0,4.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Ray Felix,1954,C,23.0,BLB,72.0,0.0,2672.0,410.0,983.0,0.417,0.0,0.0,0.0,410.0,983.0,0.417,0.417,449.0,704.0,0.638,0.0,0.0,958.0,82.0,0.0,0.0,0.0,253.0,1269.0
Danny Finn,1954,PG,25.0,PHW,68.0,0.0,1562.0,170.0,495.0,0.343,0.0,0.0,0.0,170.0,495.0,0.343,0.343,126.0,196.0,0.643,0.0,0.0,216.0,265.0,0.0,0.0,0.0,215.0,466.0
Larry Foust,1954,C,25.0,FTW,72.0,0.0,2693.0,376.0,919.0,0.409,0.0,0.0,0.0,376.0,919.0,0.409,0.409,338.0,475.0,0.712,0.0,0.0,967.0,161.0,0.0,0.0,0.0,258.0,1090.0
Jim Fritsche,1954,PF,22.0,TOT,68.0,0.0,1221.0,116.0,379.0,0.306,0.0,0.0,0.0,116.0,379.0,0.306,0.306,49.0,68.0,0.721,0.0,0.0,217.0,73.0,0.0,0.0,0.0,103.0,281.0
Jim Fritsche,1954,PF,22.0,MNL,2.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jim Fritsche,1954,PF,22.0,BLB,66.0,0.0,1213.0,116.0,376.0,0.309,0.0,0.0,0.0,116.0,376.0,0.309,0.309,48.0,64.0,0.75,0.0,0.0,217.0,73.0,0.0,0.0,0.0,103.0,280.0
Joe Fulks*,1954,PF,32.0,PHW,61.0,0.0,501.0,61.0,229.0,0.266,0.0,0.0,0.0,61.0,229.0,0.266,0.266,28.0,49.0,0.571,0.0,0.0,101.0,28.0,0.0,0.0,0.0,90.0,150.0
Bill Gabor,1954,SG,31.0,SYR,61.0,0.0,1211.0,204.0,551.0,0.37,0.0,0.0,0.0,204.0,551.0,0.37,0.37,139.0,194.0,0.716,0.0,0.0,96.0,162.0,0.0,0.0,0.0,183.0,547.0
Harry Gallatin*,1954,PF,26.0,NYK,72.0,0.0,2690.0,258.0,639.0,0.404,0.0,0.0,0.0,258.0,639.0,0.404,0.404,433.0,552.0,0.784,0.0,0.0,1098.0,153.0,0.0,0.0,0.0,208.0,949.0
Jack George,1954,PG,25.0,PHW,71.0,0.0,2648.0,259.0,736.0,0.352,0.0,0.0,0.0,259.0,736.0,0.352,0.352,157.0,266.0,0.59,0.0,0.0,386.0,312.0,0.0,0.0,0.0,210.0,675.0
Bato Govedarica,1954,PG,25.0,SYR,23.0,0.0,258.0,25.0,79.0,0.316,0.0,0.0,0.0,25.0,79.0,0.316,0.316,25.0,37.0,0.676,0.0,0.0,18.0,24.0,0.0,0.0,0.0,44.0,75.0
Joe Graboski,1954,PF,24.0,PHW,71.0,0.0,2759.0,354.0,1000.0,0.354,0.0,0.0,0.0,354.0,1000.0,0.354,0.354,236.0,350.0,0.674,0.0,0.0,670.0,163.0,0.0,0.0,0.0,223.0,944.0
Norm Grekin,1954,F,23.0,PHW,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alex Hannum*,1954,PF,30.0,ROC,72.0,0.0,1707.0,175.0,503.0,0.348,0.0,0.0,0.0,175.0,503.0,0.348,0.348,102.0,164.0,0.622,0.0,0.0,350.0,105.0,0.0,0.0,0.0,279.0,452.0
Rollen Hans,1954,SG,22.0,BLB,67.0,0.0,1556.0,191.0,515.0,0.371,0.0,0.0,0.0,191.0,515.0,0.371,0.371,101.0,180.0,0.561,0.0,0.0,160.0,181.0,0.0,0.0,0.0,172.0,483.0
Bob Harris,1954,SF,26.0,BOS,71.0,0.0,1898.0,156.0,409.0,0.381,0.0,0.0,0.0,156.0,409.0,0.381,0.381,108.0,172.0,0.628,0.0,0.0,517.0,94.0,0.0,0.0,0.0,224.0,420.0
Bob Harrison,1954,SG,26.0,TOT,64.0,0.0,1443.0,144.0,449.0,0.321,0.0,0.0,0.0,144.0,449.0,0.321,0.321,94.0,158.0,0.595,0.0,0.0,130.0,139.0,0.0,0.0,0.0,218.0,382.0
Bob Harrison,1954,G,26.0,MNL,40.0,0.0,619.0,54.0,181.0,0.298,0.0,0.0,0.0,54.0,181.0,0.298,0.298,47.0,71.0,0.662,0.0,0.0,58.0,56.0,0.0,0.0,0.0,116.0,155.0
Bob Harrison,1954,SG,26.0,MLH,24.0,0.0,824.0,90.0,268.0,0.336,0.0,0.0,0.0,90.0,268.0,0.336,0.336,47.0,87.0,0.54,0.0,0.0,72.0,83.0,0.0,0.0,0.0,102.0,227.0
Lew Hitch,1954,PF,24.0,MLH,72.0,0.0,2452.0,221.0,603.0,0.367,0.0,0.0,0.0,221.0,603.0,0.367,0.367,133.0,208.0,0.639,0.0,0.0,691.0,141.0,0.0,0.0,0.0,176.0,575.0
Paul Hoffman,1954,PG,28.0,BLB,72.0,0.0,2505.0,253.0,761.0,0.332,0.0,0.0,0.0,253.0,761.0,0.332,0.332,217.0,303.0,0.716,0.0,0.0,486.0,285.0,0.0,0.0,0.0,271.0,723.0
Jim Holstein,1954,SF,23.0,MNL,70.0,0.0,1155.0,88.0,288.0,0.306,0.0,0.0,0.0,88.0,288.0,0.306,0.306,64.0,112.0,0.571,0.0,0.0,204.0,79.0,0.0,0.0,0.0,140.0,240.0
Red Holzman*,1954,PG,33.0,MLH,51.0,0.0,649.0,74.0,224.0,0.33,0.0,0.0,0.0,74.0,224.0,0.33,0.33,48.0,73.0,0.658,0.0,0.0,46.0,75.0,0.0,0.0,0.0,73.0,196.0
Bob Houbregs*,1954,PF,21.0,TOT,70.0,0.0,1970.0,209.0,562.0,0.372,0.0,0.0,0.0,209.0,562.0,0.372,0.372,190.0,266.0,0.714,0.0,0.0,375.0,123.0,0.0,0.0,0.0,209.0,608.0
Bob Houbregs*,1954,C-F,21.0,MLH,11.0,0.0,166.0,19.0,62.0,0.306,0.0,0.0,0.0,19.0,62.0,0.306,0.306,26.0,34.0,0.765,0.0,0.0,46.0,9.0,0.0,0.0,0.0,21.0,64.0
Bob Houbregs*,1954,PF,21.0,BLB,59.0,0.0,1804.0,190.0,500.0,0.38,0.0,0.0,0.0,190.0,500.0,0.38,0.38,164.0,232.0,0.707,0.0,0.0,329.0,114.0,0.0,0.0,0.0,188.0,544.0
Mel Hutchins,1954,PF,25.0,FTW,72.0,0.0,2934.0,295.0,736.0,0.401,0.0,0.0,0.0,295.0,736.0,0.401,0.401,151.0,223.0,0.677,0.0,0.0,695.0,210.0,0.0,0.0,0.0,229.0,741.0
Neil Johnston*,1954,C,24.0,PHW,72.0,0.0,3296.0,591.0,1317.0,0.449,0.0,0.0,0.0,591.0,1317.0,0.449,0.449,577.0,772.0,0.747,0.0,0.0,797.0,203.0,0.0,0.0,0.0,259.0,1759.0
Billy Kenville,1954,PG,23.0,SYR,72.0,0.0,1405.0,149.0,388.0,0.384,0.0,0.0,0.0,149.0,388.0,0.384,0.384,136.0,182.0,0.747,0.0,0.0,247.0,122.0,0.0,0.0,0.0,138.0,434.0
George King,1954,PG,25.0,SYR,72.0,0.0,2370.0,280.0,744.0,0.376,0.0,0.0,0.0,280.0,744.0,0.376,0.376,257.0,410.0,0.627,0.0,0.0,268.0,272.0,0.0,0.0,0.0,179.0,817.0
Dick Knostman,1954,C,22.0,SYR,5.0,0.0,47.0,3.0,10.0,0.3,0.0,0.0,0.0,3.0,10.0,0.3,0.3,7.0,11.0,0.636,0.0,0.0,17.0,6.0,0.0,0.0,0.0,9.0,13.0
